Label,Area (µm^2),EquivalentDiameter (µm),MajorAxisLength (µm),MinorAxisLength (µm),Perimeter (µm),Orientation (deg),AspectRatio,Circularity,Solidity,Class
1773,14112.0,134.04460621488136,206.34319514473788,111.98321341395405,617.0437226013958,58.99008663425383,1.8426261298823006,0.4657646832350317,0.6853146853146853,Fine Sand
1774,1152.0,38.29845891853754,47.66655995912761,31.684366202638373,98.91168824543144,-17.296150528236417,1.5044189192321098,1.479677650017441,1.0,Silt/Clay
1775,2880.0,60.555180528483845,102.68817650571785,35.05108280681978,204.8528137423857,-20.946218374917134,2.929672018170524,0.8624193351242354,0.9090909090909091,Silt/Clay
1776,10224.0,114.09470235454539,186.07265877317093,80.69486448348691,477.16147160748716,-46.05663414868743,2.3058798098762296,0.5642868974349158,0.7802197802197802,Very Fine Sand
1777,18864.0,154.97867844282356,183.4902641834387,138.8648564270656,582.3229432149743,-30.254719068982077,1.3213585417114604,0.6990622475454032,0.8675496688741722,Fine Sand
1778,7056.0,94.78385003602305,169.64059445770968,65.08573456331811,376.19090885900994,52.88655250064033,2.606417452240264,0.6265443875792129,0.7313432835820896,Very Fine Sand
1779,41184.0,228.99147890341453,429.7027067908307,133.0299063025778,1103.3666658163702,-23.418456721956748,3.230121096330533,0.42510740576128214,0.7814207650273224,Fine Sand
1780,14976.0,138.0870574020382,229.44410770538138,105.5156636970795,659.2935059634514,-62.10270429070185,2.174502814710836,0.4329603235672534,0.7123287671232876,Fine Sand
1781,2448.0,55.82911790017533,67.86892936960226,47.09684622661941,161.39696961967,-62.057258662114705,1.4410504058601348,1.1809473206012993,0.9444444444444444,Silt/Clay
1782,18864.0,154.97867844282356,262.2927543489526,114.71580263747605,708.9259735953042,25.973160095748725,2.2864570383371507,0.47167393244218325,0.6717948717948717,Fine Sand
1783,24048.0,174.9824693270477,234.63038102523183,154.19243433786292,720.1463197058371,-79.72588509699027,1.521672460991926,0.5827031101352518,0.7952380952380952,Fine Sand
1784,20448.0,161.3542754647196,191.65428772114987,154.27635916724356,656.3818177180199,82.93641036345637,1.2422790423345855,0.5964137069679667,0.7932960893854749,Fine Sand
